crate	version	layer	git_repo	git_head	worktree_state	source_files	source_loc	inbound_rsomics_dependents	inbound_target_family_count	inbound_target_families	has_tests	has_compat	has_benches	has_origin	upstream_families	upstream_mentions	area_provisional	target_family_provisional	target_kind_provisional	routing_confidence	suggested_action_provisional	manifest_error
rsomics-aa-code	0.1.0	B	True	29e6032fb3d420fd9a494414099d530a2fa1cd6f	clean	3	257	0	0		True	True	True	True	biopython	biopython	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-adf-test	0.1.2	B	True	afebffad3233ddd612561d2466df25ec655c4670	dirty	6	866	0	0		True	True	True	True	statsmodels	statsmodels	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-aitchison-ops	0.1.2	B	True	2dcf4147902a7f130d3121f1cf679838faadbe4c	clean	4	781	0	0		True	True	True	True	scikit-bio	scikit-bio|biopython	compositional	rsomics-composition	product	high	merge-into:rsomics-composition	-
rsomics-alexandergovern	0.1.0	B	True	e4aafbc0faec00b23d727e6a25afc3200210d9d9	clean	7	602	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-align-core	0.2.0	A	True	97902c69350ba4e1cc92dc41e6753d8a6d127f92	dirty	1	318	1	1	rsomics-seq	False	False	False	False			foundation	rsomics-align-core	foundation	high	internalize-or-merge-review	-
rsomics-align-score	0.1.2	B	True	f4a00843b8663f973a47d5291f0d3bdb9b321a05	clean	3	184	0	0		True	True	True	True	biopython|emboss	biopython|emboss	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-alignment-sieve	0.1.1	B	True	d65a23fbac4caba831b28b7b89c322129f76950d	dirty	3	341	0	0		True	True	True	True	deeptools	samtools|deeptools	epigenomic-signal	rsomics-signal	product	high	merge-into:rsomics-signal	-
rsomics-alpha-diversity	0.4.2	B	True	542030df8d84dca87d30e3b4a24cec6aaaf1ac0b	clean	4	1715	0	0		True	True	True	True	scikit-bio	scipy|scikit-bio|biopython	ecology	rsomics-ecology	product	high	merge-into:rsomics-ecology	-
rsomics-alr	0.1.1	B	True	99869f5f8f1633179e6d5c366000d8199836d895	clean	4	610	0	0		True	True	True	True	scikit-bio	scikit-bio|biopython	compositional	rsomics-composition	product	high	merge-into:rsomics-composition	-
rsomics-ancom	0.1.2	B	True	aa6e72a86403560daa311201474143df0c2a3812	clean	5	966	0	0		True	True	True	True	scikit-bio	scipy|scikit-bio|statsmodels|biopython	compositional	rsomics-composition	product	high	merge-into:rsomics-composition	-
rsomics-anderson-darling	0.1.2	B	True	975b0394c0f80fea5da155c6aec7b81b20d8a512	clean	8	1393	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-anosim	0.1.4	B	True	68e7df285331c684c96f9b5921407f10a1e1deb5	clean	5	565	0	0		True	True	True	True	scikit-bio	scipy|scikit-bio	ecology	rsomics-ecology	product	high	merge-into:rsomics-ecology	-
rsomics-ansari	0.1.1	B	True	fb35b72e4882b6321d5eda65ab026f120ba8611c	clean	7	897	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-association	0.1.0	B	True	84656207cad809c4bfd00981c44c6016941099f9	clean	5	544	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-atac-shift	0.1.1	B	True	6dbd1c30d99ac8233cbeb01a738e789ee22ee5cb	clean	3	567	0	0		True	True	True	True	samtools|deeptools	samtools|deeptools	epigenomic-signal	rsomics-signal	product	high	merge-into:rsomics-signal	-
rsomics-autocorrelation	0.1.0	B	True	277059b0871a67d97dbfab92c7222d1cf63e2456	clean	12	1879	0	0		True	True	True	True	statsmodels	scipy|statsmodels	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-avelogcpm	0.1.2	B	True	7871fc7b72b149e3e7fac7b3f1a595062d7004a5	clean	3	442	0	0		True	True	True	True	edger	edger	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-average-degree-connectivity	0.1.2	B	True	4ccc4bcb275f1421b8c8c7561b94b0174ccb577c	dirty	3	242	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-average-neighbor-degree	0.1.2	B	True	9473ceda612a6cc5a68a4ca33ce3b671fc116723	clean	2	187	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-bam-addreplacerg	0.1.1	B	True	26354a3724f7f2e32bdb4d686b3ac13b59eeb6b4	clean	3	539	0	0		True	True	True	False	samtools	samtools	alignment-formats	rsomics-bam	product	high	merge-into:rsomics-bam	-
rsomics-bam-ampliconclip	0.1.0	B	True	94784e5b4132d39adcd0b784bb7d6ad7c0e69258	clean	5	1388	0	0		True	True	True	True	samtools	samtools|fastp	alignment-formats	rsomics-bam	product	high	merge-into:rsomics-bam	-
